epi_week,disease,no._of_cases
2012-W01,Acute Upper Respiratory Tract infections,2932
2012-W01,Acute Conjunctivitis,120
2012-W01,Acute Diarrhoea,491
2012-W01,Chickenpox,18
2012-W02,Acute Upper Respiratory Tract infections,3189
2012-W02,Acute Conjunctivitis,114
2012-W02,Acute Diarrhoea,575
2012-W02,Chickenpox,19
2012-W03,Acute Upper Respiratory Tract infections,3185
2012-W03,Acute Conjunctivitis,106
2012-W03,Acute Diarrhoea,539
2012-W03,Chickenpox,16
2012-W04,Acute Upper Respiratory Tract infections,4001
2012-W04,Acute Conjunctivitis,118
2012-W04,Acute Diarrhoea,615
2012-W04,Chickenpox,24
2012-W05,Acute Upper Respiratory Tract infections,3356
2012-W05,Acute Conjunctivitis,110
2012-W05,Acute Diarrhoea,559
2012-W05,Chickenpox,18
2012-W06,Acute Upper Respiratory Tract infections,3358
2012-W06,Acute Conjunctivitis,111
2012-W06,Acute Diarrhoea,557
2012-W06,Chickenpox,20
2012-W07,Acute Upper Respiratory Tract infections,3033
2012-W07,Acute Conjunctivitis,105
2012-W07,Acute Diarrhoea,529
2012-W07,Chickenpox,19
2012-W08,Acute Upper Respiratory Tract infections,2953
2012-W08,Acute Conjunctivitis,102
2012-W08,Acute Diarrhoea,513
2012-W08,Chickenpox,21
2012-W09,Acute Upper Respiratory Tract infections,2855
2012-W09,Acute Conjunctivitis,105
2012-W09,Acute Diarrhoea,505
2012-W09,Chickenpox,17
2012-W10,Acute Upper Respiratory Tract infections,2868
2012-W10,Acute Conjunctivitis,95
2012-W10,Acute Diarrhoea,488
2012-W10,Chickenpox,19
2012-W11,Acute Upper Respiratory Tract infections,2615
2012-W11,Acute Conjunctivitis,103
2012-W11,Acute Diarrhoea,432
2012-W11,Chickenpox,15
2012-W12,Acute Upper Respiratory Tract infections,2803
2012-W12,Acute Conjunctivitis,112
2012-W12,Acute Diarrhoea,507
2012-W12,Chickenpox,21
2012-W13,Acute Upper Respiratory Tract infections,2711
2012-W13,Acute Conjunctivitis,106
2012-W13,Acute Diarrhoea,477
2012-W13,Chickenpox,17
2012-W14,Acute Upper Respiratory Tract infections,2935
2012-W14,Acute Conjunctivitis,110
2012-W14,Acute Diarrhoea,486
2012-W14,Chickenpox,20
2012-W15,Acute Upper Respiratory Tract infections,3098
2012-W15,Acute Conjunctivitis,98
2012-W15,Acute Diarrhoea,487
2012-W15,Chickenpox,18
2012-W16,Acute Upper Respiratory Tract infections,3056
2012-W16,Acute Conjunctivitis,114
2012-W16,Acute Diarrhoea,502
2012-W16,Chickenpox,19
2012-W17,Acute Upper Respiratory Tract infections,3022
2012-W17,Acute Conjunctivitis,108
2012-W17,Acute Diarrhoea,478
2012-W17,Chickenpox,21
2012-W18,Acute Upper Respiratory Tract infections,3090
2012-W18,Acute Conjunctivitis,106
2012-W18,Acute Diarrhoea,537
2012-W18,Chickenpox,26
2012-W19,Acute Upper Respiratory Tract infections,3100
2012-W19,Acute Conjunctivitis,101
2012-W19,Acute Diarrhoea,488
2012-W19,Chickenpox,21
2012-W20,Acute Upper Respiratory Tract infections,3167
2012-W20,Acute Conjunctivitis,117
2012-W20,Acute Diarrhoea,481
2012-W20,Chickenpox,26
2012-W21,Acute Upper Respiratory Tract infections,2982
2012-W21,Acute Conjunctivitis,95
2012-W21,Acute Diarrhoea,454
2012-W21,Chickenpox,21
2012-W22,Acute Upper Respiratory Tract infections,2719
2012-W22,Acute Conjunctivitis,91
2012-W22,Acute Diarrhoea,428
2012-W22,Chickenpox,19
2012-W23,Acute Upper Respiratory Tract infections,2550
2012-W23,Acute Conjunctivitis,93
2012-W23,Acute Diarrhoea,404
2012-W23,Chickenpox,15
2012-W24,Acute Upper Respiratory Tract infections,2495
2012-W24,Acute Conjunctivitis,91
2012-W24,Acute Diarrhoea,416
2012-W24,Chickenpox,14
2012-W25,Acute Upper Respiratory Tract infections,2381
2012-W25,Acute Conjunctivitis,84
2012-W25,Acute Diarrhoea,399
2012-W25,Chickenpox,20
2012-W26,Acute Upper Respiratory Tract infections,2471
2012-W26,Acute Conjunctivitis,101
2012-W26,Acute Diarrhoea,468
2012-W26,Chickenpox,20
2012-W27,Acute Upper Respiratory Tract infections,2597
2012-W27,Acute Conjunctivitis,95
2012-W27,Acute Diarrhoea,498
2012-W27,Chickenpox,21
2012-W28,Acute Upper Respiratory Tract infections,2949
2012-W28,Acute Conjunctivitis,103
2012-W28,Acute Diarrhoea,547
2012-W28,Chickenpox,16
2012-W29,Acute Upper Respiratory Tract infections,3168
2012-W29,Acute Conjunctivitis,98
2012-W29,Acute Diarrhoea,545
2012-W29,Chickenpox,15
2012-W30,Acute Upper Respiratory Tract infections,3214
2012-W30,Acute Conjunctivitis,97
2012-W30,Acute Diarrhoea,565
2012-W30,Chickenpox,18
2012-W31,Acute Upper Respiratory Tract infections,2980
2012-W31,Acute Conjunctivitis,101
2012-W31,Acute Diarrhoea,576
2012-W31,Chickenpox,16
2012-W32,Acute Upper Respiratory Tract infections,2857
2012-W32,Acute Conjunctivitis,108
2012-W32,Acute Diarrhoea,539
2012-W32,Chickenpox,16
2012-W33,Acute Upper Respiratory Tract infections,2650
2012-W33,Acute Conjunctivitis,95
2012-W33,Acute Diarrhoea,539
2012-W33,Chickenpox,13
2012-W34,Acute Upper Respiratory Tract infections,2669
2012-W34,Acute Conjunctivitis,109
2012-W34,Acute Diarrhoea,604
2012-W34,Chickenpox,19
2012-W35,Acute Upper Respiratory Tract infections,2533
2012-W35,Acute Conjunctivitis,94
2012-W35,Acute Diarrhoea,512
2012-W35,Chickenpox,11
2012-W36,Acute Upper Respiratory Tract infections,2343
2012-W36,Acute Conjunctivitis,91
2012-W36,Acute Diarrhoea,400
2012-W36,Chickenpox,14
2012-W37,Acute Upper Respiratory Tract infections,2619
2012-W37,Acute Conjunctivitis,103
2012-W37,Acute Diarrhoea,497
2012-W37,Chickenpox,13
2012-W38,Acute Upper Respiratory Tract infections,2579
2012-W38,Acute Conjunctivitis,92
2012-W38,Acute Diarrhoea,500
2012-W38,Chickenpox,13
2012-W39,Acute Upper Respiratory Tract infections,2517
2012-W39,Acute Conjunctivitis,92
2012-W39,Acute Diarrhoea,498
2012-W39,Chickenpox,15
2012-W40,Acute Upper Respiratory Tract infections,2575
2012-W40,Acute Conjunctivitis,88
2012-W40,Acute Diarrhoea,520
2012-W40,Chickenpox,13
2012-W41,Acute Upper Respiratory Tract infections,2638
2012-W41,Acute Conjunctivitis,87
2012-W41,Acute Diarrhoea,494
2012-W41,Chickenpox,14
2012-W42,Acute Upper Respiratory Tract infections,2695
2012-W42,Acute Conjunctivitis,88
2012-W42,Acute Diarrhoea,507
2012-W42,Chickenpox,13
2012-W43,Acute Upper Respiratory Tract infections,2768
2012-W43,Acute Conjunctivitis,90
2012-W43,Acute Diarrhoea,522
2012-W43,Chickenpox,13
2012-W44,Acute Upper Respiratory Tract infections,2605
2012-W44,Acute Conjunctivitis,100
2012-W44,Acute Diarrhoea,486
2012-W44,Chickenpox,15
2012-W45,Acute Upper Respiratory Tract infections,2578
2012-W45,Acute Conjunctivitis,89
2012-W45,Acute Diarrhoea,477
2012-W45,Chickenpox,11
2012-W46,Acute Upper Respiratory Tract infections,2581
2012-W46,Acute Conjunctivitis,91
2012-W46,Acute Diarrhoea,538
2012-W46,Chickenpox,14
2012-W47,Acute Upper Respiratory Tract infections,2504
2012-W47,Acute Conjunctivitis,99
2012-W47,Acute Diarrhoea,499
2012-W47,Chickenpox,11
2012-W48,Acute Upper Respiratory Tract infections,2542
2012-W48,Acute Conjunctivitis,93
2012-W48,Acute Diarrhoea,484
2012-W48,Chickenpox,9
2012-W49,Acute Upper Respiratory Tract infections,2681
2012-W49,Acute Conjunctivitis,99
2012-W49,Acute Diarrhoea,481
2012-W49,Chickenpox,10
2012-W50,Acute Upper Respiratory Tract infections,2604
2012-W50,Acute Conjunctivitis,94
2012-W50,Acute Diarrhoea,469
2012-W50,Chickenpox,10
2012-W51,Acute Upper Respiratory Tract infections,2497
2012-W51,Acute Conjunctivitis,103
2012-W51,Acute Diarrhoea,419
2012-W51,Chickenpox,12
2012-W52,Acute Upper Respiratory Tract infections,2812
2012-W52,Acute Conjunctivitis,113
2012-W52,Acute Diarrhoea,473
2012-W52,Chickenpox,14
2013-W01,Acute Upper Respiratory Tract infections,3022
2013-W01,Acute Conjunctivitis,130
2013-W01,Acute Diarrhoea,541
2013-W01,Chickenpox,19
2013-W02,Acute Upper Respiratory Tract infections,3120
2013-W02,Acute Conjunctivitis,110
2013-W02,Acute Diarrhoea,596
2013-W02,Chickenpox,12
2013-W03,Acute Upper Respiratory Tract infections,3133
2013-W03,Acute Conjunctivitis,114
2013-W03,Acute Diarrhoea,569
2013-W03,Chickenpox,17
2013-W04,Acute Upper Respiratory Tract infections,3190
2013-W04,Acute Conjunctivitis,102
2013-W04,Acute Diarrhoea,543
2013-W04,Chickenpox,14
2013-W05,Acute Upper Respiratory Tract infections,3036
2013-W05,Acute Conjunctivitis,102
2013-W05,Acute Diarrhoea,502
2013-W05,Chickenpox,17
2013-W06,Acute Upper Respiratory Tract infections,2599
2013-W06,Acute Conjunctivitis,94
2013-W06,Acute Diarrhoea,475
2013-W06,Chickenpox,18
2013-W07,Acute Upper Respiratory Tract infections,3033
2013-W07,Acute Conjunctivitis,105
2013-W07,Acute Diarrhoea,573
2013-W07,Chickenpox,21
2013-W08,Acute Upper Respiratory Tract infections,2942
2013-W08,Acute Conjunctivitis,115
2013-W08,Acute Diarrhoea,510
2013-W08,Chickenpox,15
2013-W09,Acute Upper Respiratory Tract infections,2753
2013-W09,Acute Conjunctivitis,110
2013-W09,Acute Diarrhoea,469
2013-W09,Chickenpox,16
2013-W10,Acute Upper Respiratory Tract infections,2713
2013-W10,Acute Conjunctivitis,107
2013-W10,Acute Diarrhoea,475
2013-W10,Chickenpox,14
2013-W11,Acute Upper Respiratory Tract infections,2500
2013-W11,Acute Conjunctivitis,101
2013-W11,Acute Diarrhoea,465
2013-W11,Chickenpox,17
2013-W12,Acute Upper Respiratory Tract infections,2148
2013-W12,Acute Conjunctivitis,93
2013-W12,Acute Diarrhoea,365
2013-W12,Chickenpox,13
2013-W13,Acute Upper Respiratory Tract infections,2343
2013-W13,Acute Conjunctivitis,118
2013-W13,Acute Diarrhoea,456
2013-W13,Chickenpox,18
2013-W14,Acute Upper Respiratory Tract infections,2395
2013-W14,Acute Conjunctivitis,106
2013-W14,Acute Diarrhoea,454
2013-W14,Chickenpox,15
2013-W15,Acute Upper Respiratory Tract infections,2500
2013-W15,Acute Conjunctivitis,103
2013-W15,Acute Diarrhoea,461
2013-W15,Chickenpox,14
2013-W16,Acute Upper Respiratory Tract infections,2688
2013-W16,Acute Conjunctivitis,95
2013-W16,Acute Diarrhoea,459
2013-W16,Chickenpox,16
2013-W17,Acute Upper Respiratory Tract infections,2699
2013-W17,Acute Conjunctivitis,95
2013-W17,Acute Diarrhoea,444
2013-W17,Chickenpox,13
2013-W18,Acute Upper Respiratory Tract infections,2854
2013-W18,Acute Conjunctivitis,90
2013-W18,Acute Diarrhoea,492
2013-W18,Chickenpox,21
2013-W19,Acute Upper Respiratory Tract infections,2747
2013-W19,Acute Conjunctivitis,91
2013-W19,Acute Diarrhoea,478
2013-W19,Chickenpox,14
2013-W20,Acute Upper Respiratory Tract infections,2519
2013-W20,Acute Conjunctivitis,90
2013-W20,Acute Diarrhoea,452
2013-W20,Chickenpox,18
2013-W21,Acute Upper Respiratory Tract infections,2726
2013-W21,Acute Conjunctivitis,90
2013-W21,Acute Diarrhoea,452
2013-W21,Chickenpox,11
2013-W22,Acute Upper Respiratory Tract infections,2733
2013-W22,Acute Conjunctivitis,85
2013-W22,Acute Diarrhoea,460
2013-W22,Chickenpox,13
2013-W23,Acute Upper Respiratory Tract infections,2434
2013-W23,Acute Conjunctivitis,76
2013-W23,Acute Diarrhoea,403
2013-W23,Chickenpox,9
2013-W24,Acute Upper Respiratory Tract infections,2330
2013-W24,Acute Conjunctivitis,80
2013-W24,Acute Diarrhoea,378
2013-W24,Chickenpox,10
2013-W25,Acute Upper Respiratory Tract infections,2755
2013-W25,Acute Conjunctivitis,104
2013-W25,Acute Diarrhoea,317
2013-W25,Chickenpox,13
2013-W26,Acute Upper Respiratory Tract infections,2413
2013-W26,Acute Conjunctivitis,91
2013-W26,Acute Diarrhoea,372
2013-W26,Chickenpox,10
2013-W27,Acute Upper Respiratory Tract infections,2368
2013-W27,Acute Conjunctivitis,88
2013-W27,Acute Diarrhoea,501
2013-W27,Chickenpox,14
2013-W28,Acute Upper Respiratory Tract infections,2371
2013-W28,Acute Conjunctivitis,84
2013-W28,Acute Diarrhoea,523
2013-W28,Chickenpox,15
2013-W29,Acute Upper Respiratory Tract infections,2543
2013-W29,Acute Conjunctivitis,88
2013-W29,Acute Diarrhoea,544
2013-W29,Chickenpox,14
2013-W30,Acute Upper Respiratory Tract infections,2423
2013-W30,Acute Conjunctivitis,85
2013-W30,Acute Diarrhoea,525
2013-W30,Chickenpox,15
2013-W31,Acute Upper Respiratory Tract infections,2476
2013-W31,Acute Conjunctivitis,91
2013-W31,Acute Diarrhoea,544
2013-W31,Chickenpox,20
2013-W32,Acute Upper Respiratory Tract infections,2426
2013-W32,Acute Conjunctivitis,91
2013-W32,Acute Diarrhoea,547
2013-W32,Chickenpox,15
2013-W33,Acute Upper Respiratory Tract infections,2700
2013-W33,Acute Conjunctivitis,97
2013-W33,Acute Diarrhoea,586
2013-W33,Chickenpox,18
2013-W34,Acute Upper Respiratory Tract infections,2565
2013-W34,Acute Conjunctivitis,100
2013-W34,Acute Diarrhoea,547
2013-W34,Chickenpox,22
2013-W35,Acute Upper Respiratory Tract infections,2380
2013-W35,Acute Conjunctivitis,88
2013-W35,Acute Diarrhoea,508
2013-W35,Chickenpox,16
2013-W36,Acute Upper Respiratory Tract infections,2262
2013-W36,Acute Conjunctivitis,92
2013-W36,Acute Diarrhoea,455
2013-W36,Chickenpox,15
2013-W37,Acute Upper Respiratory Tract infections,2211
